																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	7350	33,85	35,56	36,71	35,08	46,24	44,18	96,6	11,57	974,7	1934		42,79	1,716	1,716	0	33,98	1,032	8,605	0	25,22
	7400	34,67	36,41	37,58	35,67	47,17	44,77	97,26	11,66	991	1968		43,35	1,738	1,738	0	34,55	1,032	8,605	0	25,22
	7450	35,52	37,28	38,48	36,28	48,14	45,38	97,92	11,75	1008	2004		43,95	1,762	1,762	0	35,14	1,032	8,605	0	25,22
	7500	37,2	38,98	40,24	37,68	49,96	46,78	98,57	11,84	1047	2087		45,3	1,785	1,785	0	36,5	1,032	8,605	0	25,22
	7550	38,88	40,69	42,01	39,07	51,79	48,17	99,23	11,92	1086	2171		46,65	1,808	1,808	0	37,85	1,032	8,605	0	25,22
	7600	40,78	42,61	43,99	40,64	53,84	49,74	99,89	12	1129	2264		48,17	1,832	1,832	0	39,36	1,032	8,605	0	25,22
	7650	42,78	44,63	46,08	42,28	55,99	51,38	100,5	12,07	1175	2360		49,76	1,856	1,856	0	40,96	1,032	8,605	0	25,22
	7700	44,77	46,65	48,16	43,93	58,14	53,03	101,2	12,14	1221	2457		51,36	1,88	1,88	0	42,55	1,032	8,605	0	25,22
	7750	46,31	48,21	49,77	45,09	59,81	54,19	101,9	12,21	1253	2521		52,48	1,905	1,905	0	43,68	1,032	8,605	0	25,22
	7800	47,76	49,69	51,3	46,18	61,41	55,28	102,5	12,27	1283	2580		53,54	1,929	1,929	0	44,73	1,032	8,605	0	25,22
	7850	49,22	51,18	52,83	47,27	63	56,37	103,2	12,34	1313	2639		54,59	1,954	1,954	0	45,79	1,032	8,605	0	25,22
	7900	50	51,98	53,66	47,7	63,9	56,8	103,8	12,41	1325	2650		55,01	1,979	1,979	0	46,21	1,032	8,605	0	25,22
	7950	50,68	52,68	54,39	48,04	64,69	57,15	104,5	12,48	1335	2653		55,34	2,004	2,004	0	46,54	1,032	8,605	0	25,22
	8000	51,36	53,39	55,12	48,39	65,48	57,49	105,1	12,55	1344	2656		55,68	2,030	2,030	0	46,87	1,032	8,605	0	25,22
	8050	51,53	53,59	55,32	48,27	65,75	57,37	105,8	12,62	1341	2616		55,56	2,055	2,055	0	46,75	1,032	8,605	0	25,22
