																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	6050	31,98	33,17	34,23	39,73	41,45	48,11	79,52	8,82	1104	2186		46,61	1,188	1,188	0	38,5	1,032	8,605	0	24,66
	6100	32,42	33,62	34,7	39,95	41,98	48,33	80,17	8,906	1110	2176		46,82	1,206	1,206	0	38,71	1,032	8,605	0	24,66
	6150	32,92	34,14	35,23	40,23	42,57	48,61	80,83	8,99	1118	2159		47,1	1,224	1,224	0	38,99	1,032	8,605	0	24,66
	6200	33,42	34,67	35,77	40,52	43,17	48,9	81,49	9,073	1126	2142		47,38	1,243	1,243	0	39,27	1,032	8,605	0	24,66
	6250	33,84	35,1	36,22	40,7	43,68	49,08	82,14	9,16	1131	2105		47,55	1,261	1,261	0	39,44	1,032	8,605	0	24,66
	6300	34,15	35,43	36,56	40,76	44,08	49,14	82,8	9,251	1133	2048		47,61	1,28	1,28	0	39,5	1,032	8,605	0	24,66
	6350	34,4	35,7	36,84	40,74	44,41	49,12	83,46	9,344	1133	1981		47,59	1,299	1,299	0	39,48	1,032	8,605	0	24,66
	6400	34,46	35,78	36,92	40,52	44,56	48,9	84,12	9,447	1126	1886		47,38	1,318	1,318	0	39,27	1,032	8,605	0	24,66
	6450	34,49	35,83	36,97	40,26	44,67	48,64	84,77	9,552	1119	1789		47,13	1,337	1,337	0	39,02	1,032	8,605	0	24,66
	6500	34,44	35,8	36,94	39,92	44,7	48,3	85,43	9,666	1110	1691		46,79	1,356	1,356	0	38,68	1,032	8,605	0	24,66
	6550	34,35	35,73	36,87	39,54	44,69	47,92	86,09	9,783	1099	1601		46,42	1,376	1,376	0	38,31	1,032	8,605	0	24,66
	6600	34,23	35,63	36,77	39,12	44,64	47,5	86,74	9,903	1088	1518		46,02	1,396	1,396	0	37,91	1,032	8,605	0	24,66
	6650	34,08	35,49	36,62	38,68	44,56	47,06	87,4	10,03	1075	1462		45,6	1,416	1,416	0	37,49	1,032	8,605	0	24,66
	6700	33,92	35,35	36,48	38,25	44,48	46,63	88,06	10,16	1063	1423		45,17	1,436	1,436	0	37,06	1,032	8,605	0	24,66
	6750	33,77	35,23	36,35	37,83	44,41	46,21	88,72	10,29	1051	1405		44,77	1,456	1,456	0	36,66	1,032	8,605	0	24,66
	6800	33,69	35,17	36,29	37,49	44,41	45,87	89,37	10,42	1042	1405		44,44	1,477	1,477	0	36,33	1,032	8,605	0	24,66
	6850	33,69	35,18	36,31	37,23	44,48	45,61	90,03	10,55	1035	1418		44,18	1,497	1,497	0	36,07	1,032	8,605	0	24,66
	6900	33,81	35,33	36,46	37,11	44,69	45,49	90,69	10,67	1032	1451		44,07	1,518	1,518	0	35,97	1,032	8,605	0	24,66
	6950	33,95	35,49	36,63	37,01	44,92	45,39	91,35	10,79	1029	1481		43,98	1,539	1,539	0	35,87	1,032	8,605	0	24,66
	7000	34,1	35,66	36,8	36,92	45,15	45,3	92	10,91	1026	1509		43,89	1,561	1,561	0	35,78	1,032	8,605	0	24,66
	7050	34,25	35,83	36,98	36,84	45,39	45,22	92,66	11,03	1024	1526		43,81	1,582	1,582	0	35,7	1,032	8,605	0	24,66
	7100	34,48	36,08	37,23	36,83	45,7	45,21	93,32	11,15	1024	1546		43,8	1,604	1,604	0	35,69	1,032	8,605	0	24,66
	7150	34,9	36,52	37,69	37,02	46,22	45,4	93,97	11,27	1029	1576		43,99	1,626	1,626	0	35,88	1,032	8,605	0	24,66
	7200	35,42	37,07	38,25	37,31	46,84	45,69	94,63	11,38	1037	1606		44,27	1,648	1,648	0	36,16	1,032	8,605	0	24,66
	7250	36,02	37,69	38,9	37,68	47,55	46,06	95,29	11,49	1047	1637		44,62	1,67	1,67	0	36,51	1,032	8,605	0	24,66
	7300	36,59	38,28	39,51	38,01	48,21	46,39	95,95	11,6	1056	1661		44,94	1,693	1,693	0	36,83	1,032	8,605	0	24,66
	7350	37,14	38,86	40,1	38,32	48,87	46,7	96,6	11,71	1065	1682		45,24	1,715	1,715	0	37,13	1,032	8,605	0	24,66
	7400	37,62	39,36	40,61	38,55	49,44	46,93	97,26	11,81	1071	1694		45,46	1,738	1,738	0	37,35	1,032	8,605	0	24,66
	7450	38,08	39,84	41,12	38,76	50,01	47,14	97,92	11,92	1077	1705		45,67	1,761	1,761	0	37,56	1,032	8,605	0	24,66
	7500	38,58	40,37	41,65	39,01	50,6	47,39	98,57	12,03	1084	1707		45,91	1,785	1,785	0	37,8	1,032	8,605	0	24,66
	7550	39,12	40,92	42,23	39,28	51,24	47,66	99,23	12,13	1092	1709		46,18	1,808	1,808	0	38,07	1,032	8,605	0	24,66
	7600	39,86	41,69	43,02	39,76	52,09	48,14	99,89	12,24	1105	1717		46,63	1,832	1,832	0	38,53	1,032	8,605	0	24,66
	7650	40,81	42,67	44,03	40,42	53,16	48,8	100,5	12,35	1124	1733		47,28	1,856	1,856	0	39,17	1,032	8,605	0	24,66
	7700	42,33	44,21	45,62	41,6	54,8	49,98	101,2	12,45	1156	1776		48,43	1,88	1,88	0	40,32	1,032	8,605	0	24,66
	7750	43,95	45,86	47,32	42,88	56,57	51,26	101,9	12,55	1192	1818		49,66	1,905	1,905	0	41,55	1,032	8,605	0	24,66
	7800	45,79	47,72	49,25	44,33	58,56	52,72	102,5	12,64	1232	1860		51,07	1,929	1,929	0	42,96	1,032	8,605	0	24,66
	7850	47,58	49,53	51,11	45,73	60,48	54,11	103,2	12,73	1271	1894		52,42	1,954	1,954	0	44,31	1,032	8,605	0	24,66
	7900	49,06	51,04	52,67	46,82	62,09	55,2	103,8	12,83	1301	1878		53,48	1,979	1,979	0	45,37	1,032	8,605	0	24,66
	7950	50,5	52,51	54,18	47,87	63,67	56,25	104,5	12,93	1331	1858		54,5	2,004	2,004	0	46,39	1,032	8,605	0	24,66
	8000	51,55	53,58	55,29	48,54	64,84	56,92	105,1	13,04	1349	1786		55,15	2,030	2,030	0	47,04	1,032	8,605	0	24,66
	8050	52,52	54,58	56,32	49,14	65,93	57,52	105,8	13,15	1366	1713		55,73	2,055	2,055	0	47,62	1,032	8,605	0	24,66
	8100	53,24	55,33	57,09	49,5	66,76	57,88	106,5	13,26	1376	1635		56,08	2,081	2,081	0	47,97	1,032	8,605	0	24,66
	8150	53,83	55,94	57,73	49,75	67,45	58,13	107,1	13,38	1383	1565		56,32	2,107	2,107	0	48,21	1,032	8,605	0	24,66
	8200	54,3	56,44	58,24	49,88	68,02	58,26	107,8	13,51	1387	1502		56,45	2,134	2,134	0	48,34	1,032	8,605	0	24,66
	8250	54,68	56,84	58,66	49,94	68,5	58,32	108,4	13,63	1388	1466		56,5	2,16	2,16	0	48,39	1,032	8,605	0	24,66
	8300	54,99	57,18	59,01	49,93	68,91	58,31	109,1	13,76	1388	1438		56,5	2,187	2,187	0	48,39	1,032	8,605	0	24,66
	8350	55,19	57,4	59,24	49,83	69,2	58,21	109,7	13,88	1385	1419		56,4	2,214	2,214	0	48,29	1,032	8,605	0	24,66
	8400	55,37	57,61	59,45	49,71	69,48	58,09	110,4	14,02	1382	1414		56,28	2,241	2,241	0	48,17	1,032	8,605	0	24,66
	8450	55,63	57,89	59,74	49,66	69,83	58,04	111,1	14,15	1380	1425		56,23	2,269	2,269	0	48,12	1,032	8,605	0	24,66
	8500	56,12	58,42	60,29	49,81	70,43	58,2	111,7	14,27	1385	1462		56,38	2,296	2,296	0	48,27	1,032	8,605	0	24,66
	8550	56,52	58,85	60,72	49,88	70,93	58,27	112,4	14,39	1387	1485		56,45	2,324	2,324	0	48,34	1,032	8,605	0	24,66
	8600	56,85	59,2	61,09	49,89	71,36	58,28	113	14,5	1387	1499		56,46	2,352	2,352	0	48,35	1,032	8,605	0	24,66
	8650	56,94	59,32	61,22	49,71	71,54	58,09	113,7	14,63	1382	1498		56,28	2,381	2,381	0	48,17	1,032	8,605	0	24,66
	8700	57,03	59,44	61,34	49,52	71,72	57,9	114,3	14,76	1376	1503		56,1	2,409	2,409	0	47,99	1,032	8,605	0	24,66
	8750	57,2	59,63	61,54	49,4	71,98	57,78	115	14,87	1373	1522		55,98	2,438	2,438	0	47,87	1,032	8,605	0	24,66
	8800	57,21	59,67	61,58	49,15	72,08	57,53	115,7	14,99	1366	1532		55,74	2,467	2,467	0	47,63	1,032	8,605	0	24,66
	8850	57,13	59,63	61,53	48,83	72,09	57,21	116,3	15,11	1357	1537		55,43	2,496	2,496	0	47,32	1,032	8,605	0	24,66
	8900	57,27	59,8	61,71	48,7	72,33	57,08	117	15,23	1354	1553		55,3	2,526	2,526	0	47,19	1,032	8,605	0	24,66
	8950	57,44	60	61,92	48,59	72,6	56,97	117,6	15,35	1351	1569		55,19	2,556	2,556	0	47,08	1,032	8,605	0	24,66
	9000	57,63	60,22	62,14	48,5	72,88	56,88	118,3	15,45	1348	1578		55,1	2,586	2,586	0	47	1,032	8,605	0	24,66
	9050	57,76	60,37	62,3	48,35	73,1	56,73	118,9	15,57	1344	1583		54,96	2,616	2,616	0	46,86	1,032	8,605	0	24,66
	9100	57,79	60,43	62,36	48,13	73,22	56,52	119,6	15,69	1338	1582		54,75	2,646	2,646	0	46,64	1,032	8,605	0	24,66
