																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	7950	49,86	51,87	52,94	46,77	67,83	59,92	104,7	8,271	1311	2648		58,71	2,014	2,014	0	45,82	1,021	8,584	0	
	8000	50,8	52,84	53,93	47,34	68,91	60,49	105,4	8,337	1327	2683		59,26	2,04	2,04	0	46,38	1,021	8,584	0	
	8050	51,72	53,79	54,9	47,9	69,97	61,04	106,1	8,403	1343	2718		59,81	2,066	2,066	0	46,92	1,021	8,584	0	
	8100	52,65	54,74	55,88	48,45	71,04	61,6	106,7	8,469	1358	2752		60,35	2,092	2,092	0	47,47	1,021	8,584	0	
	8150	53,45	55,57	56,72	48,87	71,98	62,02	107,4	8,534	1370	2778		60,77	2,118	2,118	0	47,88	1,021	8,584	0	
	8200	54,23	56,37	57,54	49,28	72,89	62,43	108	8,599	1381	2802		61,16	2,144	2,144	0	48,28	1,021	8,584	0	
	8250	55	57,18	58,36	49,68	73,8	62,83	108,7	8,664	1393	2826		61,56	2,171	2,171	0	48,67	1,021	8,584	0	
	8300	55,7	57,89	59,09	50	74,63	63,15	109,4	8,727	1402	2845		61,87	2,198	2,198	0	48,99	1,021	8,584	0	
	8350	56,36	58,59	59,8	50,3	75,43	63,45	110	8,791	1410	2863		62,16	2,225	2,225	0	49,28	1,021	8,584	0	
	8400	57,03	59,28	60,51	50,59	76,24	63,74	110,7	8,854	1418	2881		62,45	2,252	2,252	0	49,57	1,021	8,584	0	
	8450	57,51	59,79	61,02	50,72	76,84	63,87	111,3	8,917	1422	2885		62,58	2,280	2,280	0	49,69	1,021	8,584	0	
	8500	57,86	60,17	61,42	50,75	77,33	63,9	112	8,979	1423	2881		62,6	2,308	2,308	0	49,72	1,021	8,584	0	
	8550	58,22	60,55	61,81	50,77	77,82	63,92	112,6	9,042	1423	2877		62,63	2,336	2,336	0	49,74	1,021	8,584	0	
	8600	58,48	60,85	62,11	50,72	78,21	63,87	113,3	9,106	1422	2869		62,58	2,364	2,364	0	49,69	1,021	8,584	0	
	8650	58,62	61,02	62,28	50,57	78,47	63,72	114	9,173	1418	2857		62,43	2,393	2,393	0	49,55	1,021	8,584	0	
	8700	58,77	61,19	62,45	50,42	78,74	63,57	114,6	9,24	1413	2844		62,28	2,422	2,422	0	49,4	1,021	8,584	0	
	8750	58,86	61,31	62,58	50,24	78,97	63,39	115,3	9,305	1408	2833		62,1	2,451	2,451	0	49,22	1,021	8,584	0	
	8800	58,91	61,39	62,66	50,01	79,13	63,16	115,9	9,369	1402	2822		61,88	2,48	2,48	0	49	1,021	8,584	0	
	8850	58,95	61,46	62,73	49,79	79,3	62,93	116,6	9,433	1396	2811		61,66	2,509	2,509	0	48,78	1,021	8,584	0	
	8900	58,99	61,53	62,8	49,56	79,47	62,71	117,3	9,498	1389	2800		61,44	2,539	2,539	0	48,56	1,021	8,584	0	
	8950	59,03	61,6	62,88	49,35	79,63	62,5	117,9	9,565	1383	2789		61,23	2,569	2,569	0	48,35	1,021	8,584	0	
	9000	59,08	61,68	62,95	49,13	79,8	62,28	118,6	9,633	1377	2778		61,02	2,599	2,599	0	48,13	1,021	8,584	0	
	9050	59,15	61,78	63,06	48,94	80	62,09	119,2	9,700	1372	2767		60,83	2,629	2,629	0	47,95	1,021	8,584	0	
	9100	59,28	61,94	63,22	48,8	80,26	61,95	119,9	9,765	1368	2758		60,69	2,66	2,66	0	47,81	1,021	8,584	0	
	9150	59,41	62,1	63,39	48,66	80,52	61,81	120,6	9,83	1364	2748		60,55	2,691	2,691	0	47,67	1,021	8,584	0	
	9200	59,55	62,27	63,56	48,52	80,79	61,67	121,2	9,897	1360	2738		60,42	2,722	2,722	0	47,54	1,021	8,584	0	
	9250	59,71	62,46	63,76	48,41	81,07	61,56	121,9	9,966	1357	2729		60,31	2,754	2,754	0	47,43	1,021	8,584	0	
	9300	59,87	62,65	63,95	48,3	81,36	61,45	122,5	10,03	1354	2719		60,2	2,785	2,785	0	47,32	1,021	8,584	0	
	9350	60,08	62,9	64,2	48,23	81,71	61,38	123,2	10,1	1352	2713		60,13	2,817	2,817	0	47,25	1,021	8,584	0	
	9400	60,4	63,25	64,56	48,24	82,16	61,39	123,8	10,17	1352	2715		60,14	2,849	2,849	0	47,26	1,021	8,584	0	
	9450	60,72	63,6	64,92	48,25	82,61	61,4	124,5	10,24	1353	2717		60,15	2,882	2,882	0	47,27	1,021	8,584	0	
	9500	61	63,92	65,24	48,23	83,02	61,38	125,2	10,3	1352	2717		60,14	2,914	2,914	0	47,25	1,021	8,584	0	
	9550	61,23	64,18	65,51	48,18	83,39	61,33	125,8	10,37	1351	2714		60,08	2,947	2,947	0	47,2	1,021	8,584	0	
	9600	61,46	64,44	65,78	48,12	83,75	61,27	126,5	10,44	1349	2710		60,03	2,98	2,98	0	47,15	1,021	8,584	0	
	9650	61,68	64,7	66,04	48,06	84,1	61,21	127,1	10,5	1347	2706		59,97	3,014	3,014	0	47,09	1,021	8,584	0	
	9700	61,9	64,94	66,29	48	84,45	61,15	127,8	10,57	1346	2701		59,91	3,047	3,047	0	47,03	1,021	8,584	0	
	9750	62,11	65,19	66,54	47,93	84,79	61,08	128,5	10,64	1344	2696		59,84	3,081	3,081	0	46,96	1,021	8,584	0	
	9800	62,33	65,45	66,8	47,88	85,15	61,02	129,1	10,71	1342	2691		59,79	3,115	3,115	0	46,9	1,021	8,584	0	
	9850	62,56	65,71	67,07	47,83	85,51	60,98	129,8	10,78	1341	2688		59,74	3,15	3,15	0	46,86	1,021	8,584	0	
	9900	62,79	65,98	67,34	47,78	85,88	60,93	130,4	10,85	1339	2685		59,69	3,184	3,184	0	46,81	1,021	8,584	0	
	9950	62,97	66,19	67,55	47,69	86,18	60,84	131,1	10,91	1337	2680		59,6	3,219	3,219	0	46,72	1,021	8,584	0	
	10000	63,08	66,34	67,71	47,56	86,43	60,71	131,8	10,98	1333	2673		59,48	3,255	3,255	0	46,59	1,021	8,584	0	
	10050	63,2	66,49	67,86	47,43	86,68	60,58	132,4	11,05	1330	2666		59,35	3,29	3,29	0	46,47	1,021	8,584	0	
	10100	63,22	66,54	67,92	47,23	86,83	60,38	133,1	11,12	1324	2656		59,16	3,326	3,326	0	46,27	1,021	8,584	0	
	10150	63,18	66,54	67,91	47	86,92	60,15	133,7	11,19	1317	2643		58,93	3,362	3,362	0	46,04	1,021	8,584	0	
	10200	63,13	66,53	67,91	46,76	87	59,91	134,4	11,26	1311	2630		58,7	3,398	3,398	0	45,81	1,021	8,584	0	
	10250	63	66,43	67,81	46,47	87	59,61	135	11,33	1303	2610		58,41	3,435	3,435	0	45,52	1,021	8,584	0	
	10300	62,83	66,3	67,67	46,15	86,95	59,29	135,7	11,4	1294	2588		58,09	3,471	3,471	0	45,21	1,021	8,584	0	
	10350	62,65	66,16	67,53	45,83	86,91	58,98	136,4	11,47	1285	2567		57,78	3,508	3,508	0	44,9	1,021	8,584	0	
	10400	62,39	65,94	67,3	45,46	86,77	58,6	137	11,55	1274	2542		57,42	3,546	3,546	0	44,53	1,021	8,584	0	
	10450	62,13	65,71	67,07	45,08	86,64	58,23	137,7	11,62	1264	2518		57,05	3,583	3,583	0	44,17	1,021	8,584	0	
	10500	61,84	65,46	66,82	44,7	86,48	57,85	138,3	11,69	1253	2493		56,67	3,621	3,621	0	43,79	1,021	8,584	0	
	10550	61,48	65,14	66,49	44,27	86,24	57,42	139	11,77	1241	2466		56,25	3,659	3,659	0	43,37	1,021	8,584	0	
	10600	61,12	64,82	66,16	43,84	86	56,99	139,7	11,84	1229	2439		55,83	3,698	3,698	0	42,95	1,021	8,584	0	
	10650	60,78	64,52	65,86	43,43	85,79	56,58	140,3	11,92	1218	2413		55,43	3,736	3,736	0	42,55	1,021	8,584	0	
	10700	60,47	64,25	65,58	43,05	85,61	56,2	141	12	1207	2387		55,06	3,775	3,775	0	42,17	1,021	8,584	0	
	10750	60,16	63,97	65,3	42,66	85,42	55,81	141,6	12,08	1196	2362		54,68	3,814	3,814	0	41,8	1,021	8,584	0	
	10800	59,87	63,73	65,05	42,3	85,27	55,45	142,3	12,16	1186	2338		54,33	3,854	3,854	0	41,45	1,021	8,584	0	
	10850	59,59	63,48	64,79	41,95	85,11	55,09	143	12,24	1176	2313		53,98	3,894	3,894	0	41,09	1,021	8,584	0	
	10900	59,36	63,29	64,6	41,63	85,01	54,78	143,6	12,32	1167	2292		53,67	3,934	3,934	0	40,78	1,021	8,584	0	
	10950	59,2	63,17	64,48	41,36	84,98	54,51	144,3	12,4	1159	2275		53,4	3,974	3,974	0	40,52	1,021	8,584	0	
	11000	59,04	63,06	64,36	41,09	84,95	54,24	144,9	12,48	1152	2258		53,14	4,015	4,015	0	40,26	1,021	8,584	0	
	11050	59,04	63,09	64,4	40,93	85,09	54,08	145,6	12,56	1148	2248		52,99	4,056	4,056	0	40,1	1,021	8,584	0	
	11100	59,03	63,13	64,44	40,77	85,22	53,92	146,2	12,64	1143	2239		52,83	4,097	4,097	0	39,95	1,021	8,584	0	
	11150	58,93	63,07	64,37	40,55	85,25	53,7	146,9	12,72	1137	2225		52,61	4,139	4,139	0	39,73	1,021	8,584	0	
	11200	58,75	62,93	64,23	40,28	85,2	53,43	147,6	12,81	1129	2206		52,35	4,18	4,18	0	39,46	1,021	8,584	0	
	11250	58,56	62,78	64,08	40,01	85,14	53,15	148,2	12,89	1121	2188		52,08	4,222	4,222	0	39,19	1,021	8,584	0	
	11300	58,33	62,59	63,89	39,71	85,04	52,86	148,9	12,98	1113	2171		51,79	4,265	4,265	0	38,91	1,021	8,584	0	
	11350	58,1	62,41	63,7	39,42	84,95	52,57	149,5	13,06	1105	2153		51,5	4,307	4,307	0	38,62	1,021	8,584	0	
	11400	57,75	62,1	63,38	39,05	84,73	52,2	150,2	13,15	1095	2130		51,14	4,350	4,350	0	38,26	1,021	8,584	0	
	11450	57,37	61,77	63,05	38,67	84,48	51,82	150,9	13,23	1084	2106		50,77	4,394	4,394	0	37,89	1,021	8,584	0	
	11500	56,92	61,36	62,63	38,25	84,16	51,4	151,5	13,32	1072	2078		50,36	4,437	4,437	0	37,47	1,021	8,584	0	
	11550	56,37	60,85	62,11	37,77	83,74	50,92	152,2	13,42	1059	2046		49,89	4,481	4,481	0	37,01	1,021	8,584	0	
	11600	55,81	60,33	61,58	37,29	83,3	50,44	152,8	13,51	1045	2015		49,41	4,525	4,525	0	36,53	1,021	8,584	0	
	11650	55,2	59,77	61	36,78	82,81	49,93	153,5	13,6	1031	1983		48,92	4,57	4,57	0	36,03	1,021	8,584	0	
	11700	54,56	59,17	60,4	36,26	82,3	49,41	154,2	13,69	1016	1950		48,4	4,614	4,614	0	35,52	1,021	8,584	0	
	11750	53,73	58,38	59,59	35,62	81,59	48,77	154,8	13,79	998,7	1915		47,78	4,659	4,659	0	34,9	1,021	8,584	0	
	11800	52,89	57,6	58,79	34,99	80,88	48,14	155,5	13,89	981	1880		47,17	4,704	4,704	0	34,28	1,021	8,584	0	
	11850	52,05	56,8	57,97	34,36	80,16	47,51	156,1	13,99	963,3	1848		46,55	4,75	4,75	0	33,67	1,021	8,584	0	
	11900	51,14	55,94	57,1	33,7	79,38	46,85	156,8	14,09	944,7	1813		45,9	4,796	4,796	0	33,02	1,021	8,584	0	
	11950	49,71	54,55	55,68	32,73	78,06	45,88	157,4	14,2	917,6	1748		44,95	4,842	4,842	0	32,07	1,021	8,584	0	
	12000	48,15	53,04	54,13	31,69	76,6	44,84	158,1	14,31	888,3	1681		43,93	4,889	4,889	0	31,04	1,021	8,584	0	
	12050	46,16	51,1	52,16	30,4	74,71	43,55	158,8	14,43	852,3	1601		42,67	4,936	4,936	0	29,79	1,021	8,584	0	
	12100	44,48	49,46	50,48	29,31	73,14	42,46	159,4	14,55	821,5	1538		41,59	4,983	4,983	0	28,71	1,021	8,584	0	
	12150	43,02	48,05	49,05	28,35	71,8	41,5	160,1	14,67	794,9	1487		40,66	5,03	5,03	0	27,78	1,021	8,584	0	
	12200	42,74	47,82	48,81	28,1	71,65	41,25	160,7	14,8	787,8	1469		40,41	5,078	5,078	0	27,53	1,021	8,584	0	
	12250	42,54	47,67	48,66	27,9	71,59	41,05	161,4	14,92	782,1	1452		40,21	5,126	5,126	0	27,33	1,021	8,584	0	
	12300	42,44	47,62	48,6	27,75	71,63	40,9	162,1	15,05	778	1437		40,07	5,174	5,174	0	27,19	1,021	8,584	0	
	12350	42,23	47,45	48,43	27,54	71,55	40,69	162,7	15,18	772,1	1425		39,87	5,223	5,223	0	26,98	1,021	8,584	0	
	12400	41,84	47,11	48,09	27,24	71,3	40,39	163,4	15,31	763,6	1413		39,57	5,272	5,272	0	26,68	1,021	8,584	0	
	12450	41,04	46,36	47,32	26,7	70,63	39,85	164	15,44	748,4	1395		39,04	5,321	5,321	0	26,15	1,021	8,584	0	
	12500	39,74	45,11	46,04	25,87	69,45	39,02	164,7	15,57	725,3	1352		38,23	5,371	5,371	0	25,35	1,021	8,584	0	
