SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
2678 ;0:09,10 ;5683 ;11 ;75;20;65;0,816 ;0,0 ;1,7 ;0,0 ;0,9 ;0 ;4,72 ;13,1 ;-88 ;2,95 ;33,8 ;0 ;0 ;
2678 ;0:09,20 ;5513 ;11 ;75;20;65;0,822 ;0,0 ;1,7 ;0,0 ;0,9 ;0 ;4,85 ;13,3 ;-88 ;2,97 ;32,2 ;0 ;0 ;
2678 ;0:09,30 ;5490 ;11 ;75;20;65;0,830 ;0,0 ;1,7 ;0,0 ;1,9 ;0 ;4,78 ;13,1 ;-76 ;2,98 ;32,0 ;0 ;0 ;
2678 ;0:09,40 ;5567 ;11 ;75;20;66;0,787 ;0,0 ;1,7 ;0,0 ;1,9 ;0 ;4,87 ;13,3 ;-76 ;3,05 ;32,5 ;0 ;0 ;
2678 ;0:09,50 ;5608 ;11 ;75;20;68;0,765 ;0,0 ;2,3 ;0,0 ;2,5 ;0 ;4,76 ;13,1 ;-73 ;3,21 ;32,5 ;0 ;0 ;
2678 ;0:09,60 ;5841 ;12 ;75;20;69;0,775 ;0,0 ;2,8 ;0,0 ;2,5 ;0 ;4,83 ;13,2 ;-78 ;3,33 ;34,3 ;0 ;0 ;
2678 ;0:09,70 ;5610 ;12 ;75;20;72;0,790 ;0,0 ;3,3 ;0,0 ;2,9 ;0 ;4,86 ;13,3 ;-78 ;3,69 ;32,2 ;0 ;0 ;
2678 ;0:09,80 ;5401 ;12 ;75;20;73;0,792 ;0,0 ;3,7 ;0,0 ;3,4 ;0 ;4,80 ;13,2 ;-78 ;3,71 ;30,6 ;0 ;0 ;
2678 ;0:09,90 ;5299 ;12 ;75;20;74;0,801 ;0,0 ;4,1 ;0,0 ;4,1 ;0 ;4,84 ;13,3 ;-75 ;3,74 ;29,7 ;0 ;0 ;
2678 ;0:10,00 ;5078 ;12 ;75;20;75;0,829 ;0,0 ;4,7 ;0,0 ;4,5 ;0 ;4,76 ;13,1 ;-76 ;3,68 ;28,0 ;0 ;0 ;
2678 ;0:10,10 ;5084 ;12 ;75;20;75;0,829 ;0,0 ;5,3 ;0,0 ;5,0 ;0 ;4,78 ;13,2 ;-77 ;3,68 ;28,1 ;0 ;0 ;
2678 ;0:10,20 ;5115 ;12 ;75;20;76;0,978 ;0,0 ;5,9 ;0,0 ;5,5 ;0 ;4,76 ;13,1 ;-77 ;3,77 ;28,3 ;0 ;0 ;
2678 ;0:10,30 ;5148 ;12 ;75;20;77;1,277 ;0,0 ;6,4 ;0,0 ;6,0 ;0 ;4,79 ;13,1 ;-76 ;3,89 ;28,1 ;0 ;0 ;
2678 ;0:10,40 ;4905 ;12 ;75;20;80;1,456 ;0,0 ;7,0 ;0,0 ;6,4 ;0 ;4,83 ;13,1 ;-77 ;4,21 ;26,7 ;0 ;0 ;
2678 ;0:10,50 ;4041 ;11 ;75;20;84;1,489 ;0,0 ;7,5 ;0,0 ;7,0 ;0 ;4,78 ;13,2 ;-77 ;4,15 ;20,2 ;0 ;0 ;
2678 ;0:10,60 ;3709 ;17 ;75;20;89;1,498 ;0,0 ;8,0 ;0,0 ;7,5 ;0 ;4,81 ;13,2 ;-77 ;3,89 ;18,9 ;0 ;0 ;
2678 ;0:10,70 ;3545 ;18 ;75;20;92;1,498 ;0,0 ;8,7 ;0,0 ;8,1 ;0 ;4,78 ;13,2 ;-77 ;4,47 ;19,7 ;0 ;0 ;
2678 ;0:10,80 ;3089 ;21 ;75;20;94;1,498 ;0,0 ;9,4 ;0,0 ;8,8 ;0 ;4,77 ;13,2 ;-76 ;4,94 ;21,0 ;0 ;0 ;
2678 ;0:10,90 ;2809 ;19 ;75;20;93;1,498 ;0,0 ;10,0 ;0,0 ;9,3 ;0 ;4,78 ;13,1 ;-77 ;4,11 ;19,0 ;0 ;0 ;
2678 ;0:11,00 ;2602 ;14 ;75;20;92;1,498 ;0,0 ;10,7 ;0,0 ;10,0 ;0 ;4,80 ;13,1 ;-76 ;3,46 ;16,5 ;0 ;0 ;
2678 ;0:11,10 ;2393 ;14 ;75;20;92;1,498 ;0,0 ;11,4 ;0,0 ;10,6 ;0 ;4,81 ;13,3 ;-77 ;3,31 ;15,7 ;0 ;0 ;
2678 ;0:11,20 ;2581 ;13 ;75;20;91;1,498 ;0,0 ;12,0 ;0,0 ;11,1 ;0 ;4,83 ;13,3 ;-77 ;3,14 ;15,0 ;0 ;0 ;
2678 ;0:11,30 ;2673 ;13 ;75;20;89;1,498 ;0,0 ;12,6 ;0,0 ;11,7 ;0 ;4,77 ;13,1 ;-76 ;2,91 ;14,7 ;0 ;0 ;
2678 ;0:11,40 ;2801 ;13 ;75;20;89;1,498 ;0,0 ;12,6 ;0,0 ;12,2 ;0 ;4,77 ;13,1 ;-76 ;3,00 ;16,0 ;0 ;0 ;
2678 ;0:11,50 ;2845 ;13 ;75;20;89;1,498 ;0,0 ;12,9 ;0,0 ;12,5 ;0 ;4,83 ;13,3 ;-75 ;3,03 ;16,4 ;0 ;0 ;
2678 ;0:11,60 ;2877 ;13 ;75;20;88;1,498 ;0,0 ;13,3 ;0,0 ;12,9 ;0 ;4,83 ;13,3 ;-75 ;3,04 ;16,7 ;0 ;0 ;
2678 ;0:11,70 ;2991 ;13 ;75;20;87;1,395 ;0,0 ;13,8 ;0,0 ;13,3 ;0 ;4,83 ;13,3 ;-76 ;3,11 ;17,9 ;0 ;0 ;
2678 ;0:11,80 ;3121 ;13 ;75;20;88;1,257 ;0,0 ;14,1 ;0,0 ;13,9 ;0 ;4,83 ;13,3 ;-75 ;3,23 ;18,0 ;0 ;0 ;
2678 ;0:11,90 ;3142 ;13 ;76;20;90;1,080 ;0,0 ;14,7 ;0,0 ;14,4 ;0 ;4,80 ;13,2 ;-75 ;3,28 ;18,0 ;0 ;0 ;
2678 ;0:12,00 ;2801 ;17 ;76;20;93;1,069 ;0,0 ;15,2 ;0,0 ;14,9 ;0 ;4,82 ;13,3 ;-75 ;4,10 ;19,0 ;0 ;0 ;
2678 ;0:12,10 ;2501 ;17 ;76;20;94;1,190 ;0,0 ;15,8 ;0,0 ;15,3 ;0 ;4,82 ;13,2 ;-75 ;3,85 ;18,5 ;0 ;0 ;
2678 ;0:12,20 ;2286 ;15 ;76;20;91;1,203 ;0,0 ;16,1 ;0,0 ;15,8 ;0 ;4,77 ;13,1 ;-75 ;3,05 ;14,3 ;0 ;0 ;
2678 ;0:12,30 ;2209 ;7 ;76;20;86;1,101 ;0,0 ;16,8 ;0,0 ;16,1 ;0 ;4,83 ;13,3 ;-76 ;2,76 ;0,0 ;0 ;0 ;
2678 ;0:12,40 ;2183 ;6 ;76;20;85;1,007 ;0,0 ;17,5 ;0,0 ;17,1 ;0 ;4,83 ;13,3 ;-76 ;2,75 ;0,0 ;0 ;0 ;
2678 ;0:12,50 ;2307 ;6 ;76;20;84;0,920 ;0,0 ;17,7 ;0,0 ;17,6 ;0 ;4,78 ;13,1 ;-75 ;2,74 ;0,0 ;0 ;0 ;
2678 ;0:12,60 ;2925 ;9 ;76;20;82;0,891 ;0,0 ;17,0 ;0,0 ;16,8 ;0 ;4,82 ;13,3 ;-75 ;2,96 ;17,3 ;0 ;0 ;
2678 ;0:12,70 ;2895 ;9 ;76;20;83;0,912 ;0,0 ;17,6 ;0,0 ;16,9 ;0 ;4,82 ;13,2 ;-76 ;3,00 ;16,9 ;0 ;0 ;
2678 ;0:12,80 ;2768 ;8 ;76;20;81;0,905 ;0,0 ;18,7 ;0,0 ;18,0 ;0 ;4,82 ;13,3 ;-75 ;2,82 ;0,0 ;0 ;0 ;
2678 ;0:12,90 ;2752 ;8 ;76;20;79;0,887 ;0,0 ;19,3 ;0,0 ;15,7 ;0 ;4,84 ;13,3 ;-79 ;2,74 ;0,0 ;0 ;0 ;
2678 ;0:13,00 ;2605 ;7 ;76;20;76;0,869 ;0,0 ;21,4 ;0,0 ;20,7 ;0 ;4,85 ;13,3 ;-76 ;2,63 ;0,0 ;0 ;0 ;
2678 ;0:13,10 ;2870 ;6 ;76;20;72;0,848 ;0,0 ;22,8 ;0,0 ;22,1 ;0 ;4,82 ;13,3 ;-75 ;2,69 ;0,0 ;0 ;0 ;
2678 ;0:13,20 ;3417 ;7 ;76;20;70;0,867 ;0,0 ;22,9 ;0,0 ;22,7 ;0 ;4,81 ;13,3 ;-75 ;2,78 ;0,0 ;0 ;0 ;
2678 ;0:13,30 ;3756 ;7 ;76;19;70;0,916 ;0,0 ;23,4 ;0,0 ;22,9 ;0 ;4,84 ;13,3 ;-75 ;2,98 ;18,5 ;0 ;0 ;
2678 ;0:13,40 ;3701 ;7 ;76;19;69;0,868 ;0,0 ;24,0 ;0,0 ;23,4 ;0 ;4,77 ;13,1 ;-75 ;2,92 ;18,4 ;0 ;0 ;
2678 ;0:13,50 ;3500 ;7 ;76;19;69;0,856 ;0,0 ;25,0 ;0,0 ;19,7 ;0 ;4,81 ;13,3 ;-80 ;2,79 ;18,0 ;0 ;0 ;
2678 ;0:13,60 ;3355 ;7 ;76;19;65;0,850 ;0,0 ;26,5 ;0,0 ;25,9 ;0 ;4,77 ;13,1 ;-75 ;2,68 ;0,0 ;0 ;0 ;
