SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
2335 ;8:11,90 ;6754 ;100 ;93;32;94;1,116 ;29,4 ;29,6 ;30,0 ;29,6 ;0 ;4,60 ;12,0 ;0 ;5,31 ;35,6 ;0 ;0 ;
2335 ;8:12,00 ;6870 ;100 ;93;32;95;1,332 ;31,5 ;31,4 ;31,5 ;31,6 ;0 ;4,55 ;12,2 ;0 ;5,30 ;36,1 ;0 ;0 ;
2335 ;8:12,10 ;5548 ;100 ;93;31;95;1,051 ;31,1 ;30,9 ;30,0 ;28,5 ;0 ;4,61 ;12,1 ;-7 ;5,71 ;31,2 ;0 ;0 ;
2335 ;8:12,20 ;8019 ;100 ;93;31;90;1,347 ;31,4 ;31,4 ;35,7 ;38,4 ;0 ;4,57 ;12,2 ;15 ;5,76 ;45,0 ;0 ;0 ;
2335 ;8:12,30 ;5024 ;100 ;93;31;95;1,150 ;32,4 ;32,6 ;32,9 ;32,6 ;0 ;4,57 ;12,1 ;0 ;6,01 ;30,8 ;0 ;0 ;
2335 ;8:12,40 ;6916 ;100 ;93;31;94;1,122 ;32,9 ;33,4 ;32,9 ;33,4 ;0 ;4,62 ;12,1 ;-1 ;5,31 ;36,4 ;0 ;0 ;
2335 ;8:12,50 ;8318 ;99 ;93;31;93;1,365 ;34,9 ;35,3 ;37,8 ;41,0 ;0 ;4,61 ;11,9 ;9 ;6,24 ;43,9 ;0 ;0 ;
2335 ;8:12,60 ;5452 ;63 ;93;31;87;0,983 ;34,1 ;35,3 ;33,9 ;35,2 ;0 ;4,64 ;12,0 ;-3 ;4,78 ;30,9 ;0 ;0 ;
2335 ;8:12,70 ;7971 ;80 ;93;31;89;1,342 ;34,6 ;35,8 ;34,4 ;35,6 ;0 ;4,60 ;12,0 ;-3 ;5,63 ;44,5 ;0 ;0 ;
2335 ;8:12,80 ;8757 ;75 ;92;31;89;1,349 ;36,4 ;38,9 ;37,9 ;39,0 ;0 ;4,61 ;11,9 ;-2 ;6,22 ;42,6 ;0 ;0 ;
2335 ;8:12,90 ;5911 ;69 ;93;31;88;1,070 ;36,1 ;38,3 ;34,3 ;36,2 ;0 ;4,61 ;12,0 ;-9 ;4,88 ;32,2 ;0 ;0 ;
2335 ;8:13,00 ;8890 ;67 ;92;31;78;1,399 ;35,6 ;39,0 ;35,7 ;38,7 ;0 ;4,58 ;11,9 ;-6 ;4,83 ;41,8 ;0 ;0 ;
2335 ;8:13,10 ;7440 ;62 ;93;31;77;1,194 ;38,0 ;41,0 ;39,6 ;41,7 ;0 ;4,55 ;12,2 ;-2 ;4,53 ;40,6 ;0 ;0 ;
2335 ;8:13,20 ;6793 ;62 ;92;31;84;1,156 ;38,5 ;40,8 ;38,6 ;40,2 ;0 ;4,62 ;12,0 ;-4 ;4,95 ;36,9 ;0 ;0 ;
2335 ;8:13,30 ;9337 ;62 ;92;31;70;1,494 ;37,5 ;41,6 ;39,2 ;41,4 ;0 ;4,63 ;11,9 ;-4 ;3,98 ;41,5 ;0 ;0 ;
2335 ;8:13,40 ;9062 ;37 ;92;31;57;1,244 ;38,8 ;45,1 ;48,1 ;48,7 ;0 ;4,60 ;11,9 ;6 ;3,20 ;40,0 ;0 ;0 ;
2335 ;8:13,50 ;7747 ;23 ;92;31;46;0,955 ;38,0 ;44,2 ;42,7 ;44,1 ;0 ;4,65 ;11,9 ;-2 ;2,21 ;36,2 ;0 ;0 ;
