SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
2329 ;2:30,70 ;4061 ;6 ;77;17;54;0,900 ;24,1 ;20,6 ;23,6 ;20,0 ;0 ;4,55 ;3,49 ;12,9 ;-13 ;2,37 ;17,7 ;0 ;0 ;
2329 ;2:30,80 ;4200 ;6 ;77;17;53;0,908 ;24,3 ;21,6 ;23,6 ;21,0 ;0 ;4,52 ;3,56 ;12,9 ;-11 ;2,35 ;19,4 ;0 ;0 ;
2329 ;2:30,90 ;4315 ;6 ;77;17;53;0,893 ;24,6 ;22,5 ;24,2 ;21,9 ;0 ;4,51 ;3,67 ;12,9 ;-8 ;2,36 ;20,9 ;0 ;0 ;
2329 ;2:31,00 ;4477 ;6 ;77;17;53;0,831 ;25,2 ;23,5 ;24,8 ;23,0 ;0 ;4,60 ;3,82 ;13,1 ;-7 ;2,37 ;22,9 ;0 ;0 ;
2329 ;2:31,10 ;4652 ;6 ;77;17;52;0,815 ;25,5 ;25,1 ;25,0 ;24,7 ;0 ;4,50 ;4,01 ;13,1 ;-3 ;2,36 ;24,8 ;0 ;0 ;
2329 ;2:31,20 ;4872 ;6 ;77;17;50;0,877 ;26,3 ;26,3 ;25,9 ;26,0 ;0 ;4,58 ;4,21 ;13,0 ;-1 ;2,34 ;27,1 ;0 ;0 ;
2329 ;2:31,30 ;5118 ;6 ;77;17;47;0,856 ;27,7 ;27,8 ;26,9 ;26,9 ;0 ;4,62 ;4,47 ;12,8 ;-3 ;2,27 ;28,0 ;0 ;0 ;
2329 ;2:31,40 ;5182 ;6 ;77;17;43;0,831 ;29,4 ;29,5 ;29,1 ;1,8 ;0 ;4,54 ;4,70 ;12,7 ;-70 ;2,18 ;27,3 ;0 ;0 ;
2329 ;2:31,50 ;5697 ;6 ;77;17;39;0,820 ;67,0 ;41,2 ;31,1 ;60,4 ;0 ;4,58 ;5,10 ;12,7 ;-42 ;2,14 ;29,1 ;0 ;0 ;
2329 ;2:31,60 ;6119 ;6 ;77;18;37;0,826 ;33,3 ;33,0 ;33,6 ;32,8 ;0 ;4,55 ;5,39 ;13,0 ;0 ;2,02 ;30,4 ;0 ;0 ;
2329 ;2:31,70 ;6476 ;6 ;77;18;39;0,877 ;33,8 ;33,5 ;33,5 ;33,2 ;0 ;4,54 ;5,59 ;13,0 ;-1 ;2,15 ;31,0 ;0 ;0 ;
2329 ;2:31,80 ;6377 ;7 ;77;18;45;0,923 ;34,3 ;33,9 ;33,2 ;32,6 ;0 ;4,56 ;5,35 ;12,9 ;-4 ;2,23 ;34,9 ;0 ;0 ;
2329 ;2:31,90 ;5580 ;7 ;77;18;51;0,926 ;36,4 ;36,0 ;28,5 ;30,0 ;0 ;4,63 ;4,66 ;12,8 ;-20 ;2,43 ;33,7 ;0 ;0 ;
