																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	11350	58,58	62,89	64,1	39,67			149,5	14,08	1114	2162			4,307	4,307	0	38,92	1,019	8,584	0	34,43
	11400	58,24	62,59	63,79	39,3			150,2	14,17	1103	2140			4,350	4,350	0	38,56	1,019	8,584	0	34,43
	11450	57,77	62,17	63,36	38,87			150,9	14,26	1091	2114			4,394	4,394	0	38,14	1,019	8,584	0	34,43
	11500	57,24	61,68	62,86	38,4			151,5	14,35	1078	2085			4,437	4,437	0	37,67	1,019	8,584	0	34,43
	11550	56,62	61,1	62,28	37,87			152,2	14,44	1063	2054			4,481	4,481	0	37,16	1,019	8,584	0	34,43
	11600	55,86	60,39	61,55	37,27			152,8	14,53	1046	2019			4,525	4,525	0	36,57	1,019	8,584	0	34,43
	11650	55,05	59,62	60,77	36,64			153,5	14,62	1029	1981			4,569	4,569	0	35,95	1,019	8,584	0	34,43
	11700	54,06	58,67	59,79	35,9			154,2	14,72	1008	1935			4,614	4,614	0	35,22	1,019	8,584	0	34,43
	11750	53,08	57,73	58,83	35,17			154,8	14,81	987,5	1889			4,659	4,659	0	34,51	1,019	8,584	0	34,43
	11800	52,23	56,93	58,01	34,53			155,5	14,92	969,7	1853			4,705	4,705	0	33,89	1,019	8,584	0	34,43
	11850	51,36	56,11	57,18	33,89			156,1	15,02	951,7	1817			4,75	4,75	0	33,26	1,019	8,584	0	34,43
