SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;
2230 ;2:25,90 ;4829 ;0 ;90;43;53;0,905 ;25,6 ;25,7 ;26,1 ;25,6 ;0 ;4,67 ;12,1 ;0 ;2,27 ;27,4 ;0 ;
2230 ;2:26,00 ;4939 ;0 ;90;43;54;0,893 ;25,9 ;26,0 ;26,2 ;1,0 ;0 ;4,66 ;12,0 ;-71 ;2,32 ;29,3 ;0 ;
2230 ;2:26,10 ;5026 ;0 ;90;44;53;0,883 ;26,2 ;26,5 ;26,9 ;14,8 ;0 ;4,72 ;12,0 ;-32 ;2,29 ;29,8 ;0 ;
2230 ;2:26,20 ;5052 ;0 ;90;43;52;0,882 ;26,4 ;27,0 ;26,8 ;14,8 ;0 ;4,70 ;12,1 ;-34 ;2,28 ;29,6 ;0 ;
2230 ;2:26,30 ;5117 ;0 ;90;43;52;0,881 ;26,6 ;27,3 ;26,9 ;26,5 ;0 ;4,76 ;12,0 ;-2 ;2,29 ;30,4 ;0 ;
2230 ;2:26,40 ;5182 ;0 ;90;43;50;0,872 ;27,0 ;27,6 ;27,5 ;8,4 ;0 ;4,67 ;12,1 ;-52 ;2,23 ;29,8 ;0 ;
2230 ;2:26,50 ;5274 ;0 ;90;43;49;0,862 ;27,7 ;27,7 ;28,3 ;7,0 ;0 ;4,66 ;11,9 ;-55 ;2,21 ;30,2 ;0 ;
2230 ;2:26,60 ;5361 ;0 ;90;43;48;0,872 ;28,4 ;28,0 ;28,8 ;14,9 ;0 ;4,61 ;12,0 ;-35 ;2,17 ;30,6 ;0 ;
2230 ;2:26,70 ;5441 ;0 ;90;43;47;0,885 ;28,9 ;28,1 ;29,4 ;31,3 ;0 ;4,71 ;12,1 ;3 ;2,14 ;30,9 ;0 ;
2230 ;2:26,80 ;5527 ;0 ;90;43;45;0,892 ;29,4 ;28,8 ;29,5 ;29,1 ;0 ;4,70 ;11,8 ;0 ;2,10 ;30,8 ;0 ;
2230 ;2:26,90 ;5592 ;0 ;90;43;43;0,890 ;29,8 ;29,2 ;29,8 ;7,0 ;0 ;4,67 ;12,0 ;-57 ;2,07 ;30,4 ;0 ;
2230 ;2:27,00 ;5661 ;0 ;90;43;42;0,885 ;30,5 ;29,5 ;30,3 ;1,6 ;0 ;4,73 ;11,9 ;-71 ;2,06 ;30,4 ;0 ;
2230 ;2:27,10 ;5819 ;0 ;90;43;39;0,880 ;30,9 ;30,3 ;31,2 ;6,0 ;0 ;4,70 ;12,0 ;-60 ;2,03 ;29,8 ;0 ;
2230 ;2:27,20 ;5899 ;0 ;90;43;37;0,876 ;31,5 ;30,8 ;31,7 ;3,1 ;0 ;4,66 ;12,0 ;-67 ;1,92 ;29,7 ;0 ;
2230 ;2:27,30 ;6052 ;0 ;90;43;36;0,882 ;31,8 ;31,2 ;32,2 ;3,0 ;0 ;4,67 ;12,0 ;-67 ;1,87 ;30,1 ;0 ;
