"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10
53544,1558278133208,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53564,1558278133228,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53584,1558278133248,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53604,1558278133268,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53624,1558278133288,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53644,1558278133308,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53664,1558278133328,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53684,1558278133348,0.8,0.02,0.59,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53704,1558278133368,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53724,1558278133388,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53744,1558278133408,0.8,0.02,0.59,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53764,1558278133428,0.8,0.02,0.59,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53784,1558278133448,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53804,1558278133468,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53824,1558278133488,0.8,0.02,0.6,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53844,1558278133508,0.8,0.02,0.6,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53864,1558278133528,0.8,0.02,0.6,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53884,1558278133548,0.8,0.02,0.6,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53904,1558278133568,0.8,0.02,0.6,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53924,1558278133588,0.8,0.02,0.59,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53944,1558278133609,0.8,0.02,0.59,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53964,1558278133629,0.8,0.02,0.59,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53984,1558278133649,0.8,0.02,0.6,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
54004,1558278133669,0.8,0.02,0.59,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
54024,1558278133689,0.8,0.02,0.59,0,-1,-0,0,0,69,28,97,507,0.0,115,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
54044,1558278133708,0.8,0.02,0.6,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
54064,1558278133728,0.8,0.02,0.59,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
54084,1558278133748,0.8,0.02,0.59,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
54104,1558278133768,0.8,0.01,0.59,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
54124,1558278133788,0.8,0.02,0.6,0,-1,-0,0,0,69,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
