SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;L/100K;
772 ;17:17,70 ;10212 ;100 ;97;85;0,987 ;0,0 ;85,6 ;89,1 ;105,8 ;1,000 ;0 ;6,20 ;11,8 ;8 ;0 ;0 ;0,0;
772 ;17:17,80 ;9842 ;100 ;97;86;1,025 ;0,0 ;84,0 ;88,1 ;21,1 ;1,000 ;0 ;6,24 ;11,8 ;-55 ;0 ;0 ;0,0;
772 ;17:17,90 ;9654 ;100 ;97;86;1,097 ;0,0 ;83,0 ;86,2 ;75,8 ;1,000 ;0 ;5,96 ;11,8 ;-5 ;0 ;0 ;0,0;
772 ;17:18,00 ;9431 ;100 ;97;86;1,175 ;0,0 ;80,8 ;83,0 ;20,0 ;1,000 ;0 ;5,91 ;11,8 ;-55 ;0 ;0 ;0,0;
772 ;17:18,10 ;9407 ;100 ;97;87;1,127 ;0,0 ;78,9 ;84,2 ;79,4 ;1,000 ;0 ;6,00 ;11,8 ;2 ;0 ;0 ;0,0;
772 ;17:18,20 ;8886 ;100 ;97;87;1,451 ;0,0 ;78,0 ;79,5 ;27,7 ;1,000 ;0 ;5,53 ;11,8 ;-47 ;0 ;0 ;0,0;
772 ;17:18,30 ;9164 ;100 ;98;88;1,498 ;0,0 ;76,1 ;76,7 ;81,1 ;1,000 ;0 ;5,56 ;11,8 ;2 ;0 ;0 ;0,0;
772 ;17:18,40 ;9590 ;100 ;98;89;1,212 ;0,0 ;76,0 ;73,7 ;15,6 ;1,000 ;0 ;6,19 ;11,9 ;-60 ;0 ;1 ;0,0;
772 ;17:18,50 ;12868 ;100 ;98;84;0,965 ;0,0 ;74,4 ;77,6 ;10,5 ;1,000 ;0 ;6,68 ;11,8 ;-63 ;0 ;1 ;0,0;
772 ;17:18,60 ;14055 ;99 ;98;84;0,848 ;0,0 ;73,7 ;73,5 ;78,3 ;1,000 ;0 ;6,71 ;11,6 ;1 ;0 ;0 ;0,0;
772 ;17:18,70 ;13899 ;99 ;98;84;0,789 ;0,0 ;73,7 ;74,8 ;45,6 ;1,000 ;0 ;6,67 ;11,8 ;-28 ;0 ;0 ;0,0;
772 ;17:18,80 ;13817 ;98 ;98;84;0,737 ;0,0 ;73,0 ;74,6 ;1184,6 ;1,000 ;0 ;6,62 ;11,6 ;382 ;0 ;0 ;0,0;
772 ;17:18,90 ;13796 ;97 ;98;83;0,724 ;0,0 ;72,2 ;73,8 ;29,7 ;1,000 ;0 ;6,68 ;11,6 ;-43 ;0 ;0 ;0,0;
772 ;17:19,00 ;13716 ;96 ;99;83;0,764 ;0,0 ;69,9 ;73,1 ;8,8 ;1,000 ;0 ;6,64 ;11,5 ;-64 ;0 ;0 ;0,0;
772 ;17:19,10 ;13508 ;96 ;99;83;0,797 ;0,0 ;67,9 ;72,2 ;392,0 ;1,000 ;0 ;6,47 ;11,6 ;124 ;0 ;0 ;0,0;
772 ;17:19,20 ;13102 ;95 ;99;83;0,791 ;0,0 ;66,5 ;70,2 ;44,2 ;1,000 ;0 ;6,26 ;11,7 ;-23 ;0 ;0 ;0,0;
772 ;17:19,30 ;12729 ;95 ;99;82;0,753 ;0,0 ;66,1 ;69,8 ;100,8 ;1,000 ;0 ;4,13 ;11,8 ;17 ;0 ;0 ;0,0;
772 ;17:19,40 ;12922 ;94 ;100;83;0,748 ;0,0 ;62,5 ;68,3 ;37,7 ;1,000 ;0 ;5,62 ;11,7 ;-27 ;0 ;0 ;0,0;
772 ;17:19,50 ;12931 ;93 ;100;83;0,807 ;0,0 ;56,7 ;70,4 ;6,9 ;1,000 ;0 ;6,68 ;11,7 ;-59 ;0 ;0 ;0,0;
772 ;17:19,60 ;12550 ;91 ;100;82;0,922 ;0,0 ;56,2 ;66,6 ;15,5 ;1,000 ;0 ;6,51 ;11,7 ;-49 ;0 ;0 ;0,0;
772 ;17:19,70 ;11837 ;86 ;100;81;0,965 ;0,0 ;57,0 ;63,2 ;87,4 ;1,000 ;0 ;6,50 ;11,7 ;21 ;0 ;0 ;0,0;
772 ;17:19,80 ;11234 ;85 ;100;81;0,995 ;0,0 ;57,4 ;60,8 ;7,3 ;1,000 ;0 ;6,38 ;11,7 ;-64 ;0 ;0 ;0,0;
772 ;17:19,90 ;10875 ;85 ;100;82;1,010 ;0,0 ;55,5 ;58,0 ;58,0 ;1,000 ;0 ;6,41 ;11,8 ;4 ;0 ;0 ;0,0;
772 ;17:20,00 ;10428 ;84 ;100;82;1,010 ;0,0 ;54,1 ;55,2 ;1,9 ;1,000 ;0 ;6,40 ;11,8 ;-71 ;0 ;0 ;0,0;
772 ;17:20,10 ;10382 ;83 ;101;81;1,000 ;0,0 ;52,4 ;55,3 ;28,2 ;1,000 ;0 ;6,28 ;11,8 ;-33 ;0 ;0 ;0,0;
772 ;17:20,20 ;9455 ;81 ;101;82;0,999 ;0,0 ;48,9 ;51,2 ;27,3 ;1,000 ;0 ;5,90 ;11,8 ;-32 ;0 ;0 ;0,0;
772 ;17:20,30 ;9259 ;79 ;101;82;0,956 ;0,0 ;45,5 ;48,6 ;60,5 ;1,000 ;0 ;5,89 ;11,8 ;13 ;0 ;0 ;0,0;
772 ;17:20,40 ;8941 ;78 ;101;82;0,856 ;0,0 ;41,0 ;47,1 ;77,3 ;1,000 ;0 ;5,67 ;11,8 ;33 ;0 ;0 ;0,0;
772 ;17:20,50 ;8465 ;76 ;101;84;0,819 ;0,0 ;34,9 ;44,9 ;14,5 ;1,000 ;0 ;5,52 ;11,7 ;-36 ;0 ;0 ;0,0;
772 ;17:20,60 ;8012 ;74 ;101;88;0,873 ;0,0 ;34,0 ;42,2 ;44,4 ;1,000 ;0 ;5,21 ;11,7 ;25 ;0 ;0 ;0,0;
772 ;17:20,70 ;7307 ;71 ;101;90;0,998 ;0,0 ;32,4 ;39,4 ;41,5 ;1,000 ;0 ;4,83 ;11,9 ;23 ;0 ;0 ;0,0;
