SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;
784 ;4:37,00 ;11645 ;69 ;98;70;0,500 ;82,8 ;0,0 ;84,6 ;96,3 ;1,000 ;0 ;4,63 ;6,46 ;11,6 ;5 ;0 ;0 ;
784 ;4:37,10 ;11531 ;69 ;98;69;0,500 ;82,2 ;0,0 ;84,5 ;30,0 ;1,000 ;0 ;4,56 ;6,62 ;11,5 ;-46 ;0 ;0 ;
784 ;4:37,20 ;11315 ;69 ;98;72;0,500 ;81,1 ;0,0 ;81,0 ;119,6 ;1,000 ;0 ;4,60 ;6,37 ;11,7 ;11 ;0 ;0 ;
784 ;4:37,30 ;11088 ;69 ;98;71;0,500 ;79,7 ;0,0 ;82,0 ;31,6 ;1,000 ;0 ;4,55 ;6,49 ;11,8 ;-44 ;0 ;0 ;
784 ;4:37,40 ;11035 ;69 ;99;71;0,500 ;77,9 ;0,0 ;80,3 ;18,5 ;1,000 ;0 ;4,56 ;6,40 ;11,7 ;-56 ;0 ;0 ;
784 ;4:37,50 ;10708 ;69 ;99;70;0,500 ;76,1 ;0,0 ;80,1 ;18,3 ;1,000 ;0 ;4,54 ;6,43 ;11,7 ;-55 ;0 ;0 ;
784 ;4:37,60 ;12763 ;69 ;99;71;0,500 ;73,3 ;0,0 ;86,7 ;60,4 ;1,000 ;0 ;4,51 ;6,73 ;11,6 ;-8 ;0 ;0 ;
784 ;4:37,70 ;13696 ;68 ;99;71;0,500 ;73,5 ;0,0 ;75,3 ;491,7 ;1,000 ;90 ;4,63 ;6,75 ;11,6 ;144 ;0 ;0 ;
784 ;4:37,80 ;13636 ;68 ;99;70;0,500 ;72,0 ;0,0 ;73,3 ;29,2 ;1,000 ;0 ;4,59 ;6,78 ;11,4 ;-44 ;0 ;0 ;
784 ;4:37,90 ;13646 ;67 ;99;69;0,500 ;71,7 ;0,0 ;73,3 ;105,1 ;1,000 ;0 ;4,58 ;6,75 ;11,5 ;13 ;0 ;0 ;
784 ;4:38,00 ;13498 ;67 ;99;69;0,500 ;71,1 ;0,0 ;72,4 ;83,2 ;1,000 ;0 ;4,60 ;6,68 ;11,5 ;5 ;0 ;0 ;
784 ;4:38,10 ;13194 ;66 ;99;68;0,500 ;70,2 ;0,0 ;71,7 ;22,2 ;1,000 ;0 ;4,61 ;6,72 ;11,4 ;-50 ;0 ;0 ;
784 ;4:38,20 ;13213 ;66 ;99;67;0,500 ;69,3 ;0,0 ;70,8 ;111,0 ;1,000 ;0 ;4,60 ;6,64 ;11,4 ;16 ;0 ;0 ;
784 ;4:38,30 ;13011 ;66 ;99;66;0,500 ;67,9 ;0,0 ;69,8 ;2,1 ;1,000 ;0 ;4,58 ;6,74 ;11,4 ;-72 ;0 ;0 ;
784 ;4:38,40 ;12851 ;65 ;100;65;0,500 ;66,6 ;0,0 ;68,2 ;104,2 ;1,000 ;0 ;4,63 ;6,60 ;11,5 ;15 ;0 ;0 ;
784 ;4:38,50 ;12583 ;65 ;100;65;0,500 ;65,3 ;0,0 ;67,5 ;101,8 ;1,000 ;0 ;4,53 ;6,66 ;11,5 ;16 ;0 ;0 ;
784 ;4:38,60 ;12359 ;65 ;100;65;0,500 ;64,3 ;0,0 ;65,7 ;105,2 ;1,000 ;0 ;4,60 ;6,68 ;11,4 ;17 ;0 ;0 ;
784 ;4:38,70 ;12096 ;64 ;100;65;0,500 ;63,0 ;0,0 ;64,7 ;12,9 ;1,000 ;0 ;4,59 ;6,59 ;11,6 ;-59 ;0 ;0 ;
784 ;4:38,80 ;11822 ;64 ;100;65;0,500 ;61,7 ;0,0 ;62,7 ;21,8 ;1,000 ;0 ;4,57 ;6,57 ;11,4 ;-48 ;0 ;0 ;
