																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	5600	30,19	31,22	31,95	40,07	39,35	49,35	73,78	8,761	1120	2263		48,29	1,039	1,039	0	39,16	1,023	8,584	0	26,05
	5650	30,68	31,74	32,47	40,37	39,95	49,66	74,44	8,843	1129	2279		48,58	1,055	1,055	0	39,45	1,023	8,584	0	26,05
	5700	30,95	32,02	32,76	40,37	40,3	49,66	75,1	8,924	1129	2281		48,59	1,072	1,072	0	39,46	1,023	8,584	0	26,05
	5750	31,17	32,26	33,01	40,32	40,61	49,61	75,76	9,005	1128	2281		48,54	1,089	1,089	0	39,41	1,023	8,584	0	26,05
	5800	31,38	32,49	33,24	40,25	40,91	49,54	76,42	9,086	1126	2279		48,47	1,106	1,106	0	39,34	1,023	8,584	0	26,05
	5850	31,56	32,68	33,44	40,15	41,17	49,43	77,08	9,167	1123	2275		48,36	1,123	1,123	0	39,24	1,023	8,584	0	26,05
	5900	31,73	32,87	33,64	40,04	41,44	49,33	77,73	9,248	1120	2271		48,26	1,140	1,140	0	39,13	1,023	8,584	0	26,05
	5950	32,06	33,22	33,99	40,12	41,86	49,41	78,39	9,329	1122	2271		48,34	1,158	1,158	0	39,21	1,023	8,584	0	26,05
	6000	32,41	33,58	34,36	40,22	42,29	49,51	79,05	9,41	1125	2272		48,44	1,176	1,176	0	39,31	1,023	8,584	0	26,05
	6050	32,89	34,08	34,87	40,48	42,87	49,77	79,71	9,49	1132	2285		48,69	1,193	1,193	0	39,56	1,023	8,584	0	26,05
	6100	33,55	34,76	35,56	40,94	43,63	50,23	80,37	9,57	1145	2311		49,14	1,212	1,212	0	40,02	1,023	8,584	0	26,05
	6150	34,21	35,44	36,26	41,41	44,39	50,7	81,03	9,649	1158	2337		49,6	1,23	1,23	0	40,47	1,023	8,584	0	26,05
