																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	6600	34,57	35,97	36,74	39,1	47,32	50,35	86,96	10,02	1095	1344	0	49,31	1,402	1,402	0	38,28	1,021	8,584	0	
	6650	34,17	35,59	36,35	38,39	47,01	49,65	87,62	10,16	1076	1352	0	48,61	1,422	1,422	0	37,59	1,021	8,584	0	
	6700	33,94	35,38	36,13	37,88	46,87	49,14	88,27	10,29	1061	1382	0	48,11	1,442	1,442	0	37,09	1,021	8,584	0	
	6750	33,67	35,14	35,89	37,34	46,7	48,6	88,93	10,42	1046	1407	0	47,59	1,463	1,463	0	36,56	1,021	8,584	0	
	6800	33,36	34,84	35,59	36,76	46,49	48,01	89,59	10,55	1030	1428	0	47,01	1,484	1,484	0	35,99	1,021	8,584	0	
	6850	33,31	34,81	35,56	36,46	46,54	47,72	90,25	10,67	1021	1465	0	46,72	1,504	1,504	0	35,7	1,021	8,584	0	
	6900	33,36	34,89	35,63	36,27	46,69	47,53	90,91	10,79	1016	1507	0	46,54	1,525	1,525	0	35,51	1,021	8,584	0	
	6950	33,59	35,14	35,89	36,27	47,03	47,53	91,57	10,91	1016	1551	0	46,54	1,547	1,547	0	35,51	1,021	8,584	0	
	7000	33,83	35,4	36,15	36,27	47,37	47,53	92,23	11,02	1016	1589	0	46,54	1,568	1,568	0	35,52	1,021	8,584	0	
	7050	34,07	35,66	36,42	36,29	47,72	47,55	92,89	11,13	1017	1617	0	46,55	1,59	1,59	0	35,53	1,021	8,584	0	
	7100	34,43	36,04	36,81	36,41	48,19	47,67	93,54	11,24	1020	1644	0	46,68	1,612	1,612	0	35,65	1,021	8,584	0	
	7150	34,84	36,47	37,25	36,59	48,71	47,84	94,2	11,35	1025	1669	0	46,85	1,634	1,634	0	35,82	1,021	8,584	0	
	7200	35,38	37,03	37,82	36,89	49,36	48,15	94,86	11,46	1034	1695	0	47,15	1,656	1,656	0	36,12	1,021	8,584	0	
	7250	35,94	37,61	38,41	37,21	50,04	48,47	95,52	11,57	1043	1720	0	47,46	1,678	1,678	0	36,44	1,021	8,584	0	
	7300	36,51	38,21	39,02	37,54	50,72	48,8	96,18	11,67	1052	1739	0	47,78	1,701	1,701	0	36,76	1,021	8,584	0	
	7350	37,08	38,81	39,63	37,87	51,41	49,13	96,84	11,77	1061	1758	0	48,11	1,724	1,724	0	37,08	1,021	8,584	0	
	7400	37,71	39,46	40,3	38,25	52,16	49,51	97,5	11,88	1072	1770	0	48,47	1,747	1,747	0	37,45	1,021	8,584	0	
	7450	38,36	40,13	40,98	38,63	52,92	49,89	98,16	11,98	1082	1781	0	48,85	1,77	1,77	0	37,83	1,021	8,584	0	
	7500	39,06	40,85	41,72	39,07	53,74	50,32	98,81	12,08	1095	1786	0	49,28	1,794	1,794	0	38,25	1,021	8,584	0	
	7550	39,78	41,6	42,48	39,52	54,59	50,78	99,47	12,18	1107	1790	0	49,72	1,817	1,817	0	38,7	1,021	8,584	0	
	7600	40,62	42,47	43,36	40,07	55,55	51,34	100,1	12,29	1123	1791	0	50,27	1,841	1,841	0	39,24	1,021	8,584	0	
	7650	41,51	43,38	44,29	40,66	56,56	51,93	100,8	12,39	1139	1793	0	50,85	1,865	1,865	0	39,82	1,021	8,584	0	
	7700	42,55	44,44	45,37	41,38	57,73	52,65	101,4	12,49	1160	1795	0	51,55	1,889	1,889	0	40,53	1,021	8,584	0	
	7750	43,61	45,52	46,48	42,12	58,91	53,39	102,1	12,59	1180	1795	0	52,27	1,914	1,914	0	41,25	1,021	8,584	0	
	7800	44,73	46,66	47,65	42,9	60,16	54,17	102,8	12,69	1202	1789	0	53,04	1,939	1,939	0	42,01	1,021	8,584	0	
	7850	45,85	47,82	48,83	43,68	61,42	54,95	103,4	12,8	1224	1779	0	53,81	1,964	1,964	0	42,78	1,021	8,584	0	
	7900	47,01	49	50,03	44,47	62,7	55,74	104,1	12,9	1246	1760	0	54,58	1,989	1,989	0	43,56	1,021	8,584	0	
	7950	48,16	50,17	51,23	45,26	63,98	56,53	104,7	13,01	1268	1740	0	55,35	2,014	2,014	0	44,32	1,021	8,584	0	
	8000	49,31	51,35	52,43	46,03	65,27	57,3	105,4	13,12	1290	1716	0	56,1	2,04	2,04	0	45,08	1,021	8,584	0	
	8050	50,41	52,48	53,58	46,75	66,5	58,02	106,1	13,22	1310	1690	0	56,81	2,066	2,066	0	45,78	1,021	8,584	0	
	8100	51,48	53,57	54,7	47,42	67,69	58,69	106,7	13,33	1329	1664	0	57,47	2,092	2,092	0	46,45	1,021	8,584	0	
	8150	52,45	54,57	55,72	48,02	68,8	59,28	107,4	13,45	1346	1633	0	58,05	2,118	2,118	0	47,03	1,021	8,584	0	
	8200	53,4	55,54	56,71	48,58	69,87	59,84	108	13,56	1361	1600	0	58,6	2,144	2,144	0	47,57	1,021	8,584	0	
	8250	54,15	56,32	57,51	48,96	70,75	60,23	108,7	13,68	1372	1561	0	58,97	2,171	2,171	0	47,95	1,021	8,584	0	
	8300	54,82	57,02	58,22	49,27	71,54	60,53	109,4	13,8	1381	1523	0	59,27	2,198	2,198	0	48,25	1,021	8,584	0	
	8350	55,3	57,52	58,74	49,41	72,13	60,67	110	13,93	1384	1488	0	59,41	2,225	2,225	0	48,39	1,021	8,584	0	
	8400	55,82	58,08	59,3	49,58	72,78	60,85	110,7	14,05	1389	1473	0	59,58	2,252	2,252	0	48,56	1,021	8,584	0	
	8450	56,36	58,64	59,87	49,77	73,43	61,03	111,3	14,18	1395	1468	0	59,76	2,280	2,280	0	48,74	1,021	8,584	0	
	8500	56,83	59,14	60,39	49,9	74,03	61,17	112	14,3	1398	1474	0	59,89	2,308	2,308	0	48,87	1,021	8,584	0	
	8550	57,12	59,45	60,71	49,87	74,42	61,14	112,6	14,42	1397	1474	0	59,86	2,336	2,336	0	48,84	1,021	8,584	0	
	8600	57,17	59,54	60,79	49,65	74,59	60,92	113,3	14,55	1391	1467	0	59,65	2,364	2,364	0	48,62	1,021	8,584	0	
	8650	57,33	59,73	60,98	49,52	74,86	60,79	114	14,67	1388	1476	0	59,52	2,393	2,393	0	48,5	1,021	8,584	0	
	8700	57,52	59,94	61,2	49,41	75,16	60,68	114,6	14,8	1385	1487	0	59,42	2,421	2,421	0	48,39	1,021	8,584	0	
	8750	57,72	60,17	61,44	49,32	75,48	60,59	115,3	14,91	1382	1498	0	59,32	2,45	2,45	0	48,3	1,021	8,584	0	
	8800	57,82	60,3	61,57	49,14	75,69	60,41	115,9	15,04	1377	1506	0	59,15	2,48	2,48	0	48,13	1,021	8,584	0	
	8850	57,84	60,35	61,62	48,9	75,82	60,17	116,6	15,16	1370	1512	0	58,92	2,509	2,509	0	47,89	1,021	8,584	0	
	8900	57,86	60,4	61,67	48,67	75,95	59,94	117,3	15,28	1364	1521	0	58,69	2,539	2,539	0	47,67	1,021	8,584	0	
	8950	57,89	60,46	61,73	48,44	76,09	59,71	117,9	15,4	1358	1531	0	58,47	2,569	2,569	0	47,44	1,021	8,584	0	
	9000	57,91	60,51	61,79	48,22	76,23	59,49	118,6	15,52	1351	1544	0	58,25	2,599	2,599	0	47,22	1,021	8,584	0	
	9050	57,94	60,57	61,84	47,99	76,36	59,26	119,2	15,63	1345	1556	0	58,03	2,629	2,629	0	47	1,021	8,584	0	
	9100	57,96	60,62	61,9	47,77	76,5	59,04	119,9	15,75	1339	1566	0	57,81	2,66	2,66	0	46,79	1,021	8,584	0	
	9150	58,01	60,7	61,98	47,57	76,66	58,84	120,6	15,87	1333	1576	0	57,62	2,691	2,691	0	46,59	1,021	8,584	0	
	9200	58,07	60,79	62,08	47,39	76,84	58,66	121,2	15,98	1328	1585	0	57,44	2,722	2,722	0	46,41	1,021	8,584	0	
	9250	58,2	60,95	62,23	47,25	77,07	58,52	121,9	16,09	1324	1595	0	57,3	2,753	2,753	0	46,28	1,021	8,584	0	
	9300	58,32	61,11	62,4	47,12	77,32	58,39	122,5	16,21	1321	1603	0	57,17	2,785	2,785	0	46,15	1,021	8,584	0	
	9350	58,46	61,27	62,56	47	77,57	58,27	123,2	16,32	1317	1609	0	57,05	2,817	2,817	0	46,03	1,021	8,584	0	
	9400	58,74	61,59	62,88	46,99	77,96	58,25	123,8	16,44	1317	1621	0	57,04	2,849	2,849	0	46,02	1,021	8,584	0	
	9450	59,1	61,98	63,28	47,03	78,44	58,3	124,5	16,55	1318	1638	0	57,09	2,881	2,881	0	46,06	1,021	8,584	0	
	9500	59,41	62,32	63,63	47,04	78,87	58,31	125,2	16,66	1318	1645	0	57,1	2,914	2,914	0	46,07	1,021	8,584	0	
	9550	59,7	62,65	63,97	47,05	79,29	58,32	125,8	16,77	1318	1650	0	57,1	2,947	2,947	0	46,08	1,021	8,584	0	
	9600	59,93	62,91	64,23	46,99	79,63	58,26	126,5	16,88	1317	1643	0	57,05	2,98	2,98	0	46,02	1,021	8,584	0	
