SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;TAR LB;VOLTS;SHIF A;
1337 ;0:31,30 ;5360 ;12 ;102;55;0,861 ;1,000 ;11,5 ;0 ;
1337 ;0:31,40 ;5323 ;12 ;102;55;0,860 ;1,000 ;11,5 ;0 ;
1337 ;0:31,50 ;5290 ;12 ;101;55;0,856 ;1,000 ;11,6 ;0 ;
1337 ;0:31,60 ;5280 ;12 ;101;56;0,852 ;1,000 ;11,5 ;0 ;
1337 ;0:31,70 ;5286 ;12 ;101;55;0,861 ;1,000 ;11,4 ;0 ;
1337 ;0:31,80 ;5280 ;11 ;101;55;0,861 ;1,000 ;11,6 ;0 ;
1337 ;0:31,90 ;5320 ;11 ;102;55;0,854 ;1,000 ;11,5 ;0 ;
1337 ;0:32,00 ;5305 ;11 ;102;55;0,842 ;1,000 ;11,4 ;0 ;
1337 ;0:32,10 ;5320 ;11 ;102;55;0,842 ;1,000 ;11,7 ;0 ;
1337 ;0:32,20 ;5308 ;11 ;102;55;0,851 ;1,000 ;11,5 ;0 ;
1337 ;0:32,30 ;5317 ;11 ;102;55;0,855 ;1,000 ;11,5 ;0 ;
1337 ;0:32,40 ;5329 ;11 ;102;55;0,863 ;1,000 ;11,5 ;0 ;
1337 ;0:32,50 ;5320 ;11 ;102;55;0,856 ;1,000 ;11,5 ;0 ;
1337 ;0:32,60 ;5307 ;11 ;102;56;0,865 ;1,000 ;11,6 ;0 ;
1337 ;0:32,70 ;5256 ;11 ;102;56;0,876 ;1,000 ;11,4 ;0 ;
1337 ;0:32,80 ;5233 ;10 ;102;56;0,877 ;1,000 ;11,6 ;0 ;
1337 ;0:32,90 ;5195 ;11 ;102;57;0,878 ;1,000 ;11,4 ;0 ;
1337 ;0:33,00 ;5163 ;11 ;102;58;0,869 ;1,000 ;11,5 ;0 ;
1337 ;0:33,10 ;5149 ;11 ;102;58;0,870 ;1,000 ;11,6 ;0 ;
1337 ;0:33,20 ;5100 ;12 ;102;58;0,876 ;1,000 ;11,6 ;0 ;
1337 ;0:33,30 ;5103 ;12 ;102;58;0,876 ;1,000 ;11,6 ;0 ;
1337 ;0:33,40 ;5079 ;12 ;102;58;0,879 ;1,000 ;11,6 ;0 ;
1337 ;0:33,50 ;5060 ;12 ;102;58;0,898 ;1,000 ;11,6 ;0 ;
1337 ;0:33,60 ;5002 ;12 ;101;59;0,907 ;1,000 ;11,6 ;0 ;
1337 ;0:33,70 ;5038 ;12 ;101;59;0,897 ;1,000 ;11,4 ;0 ;
1337 ;0:33,80 ;5066 ;13 ;102;58;0,905 ;1,000 ;11,5 ;0 ;
1337 ;0:33,90 ;5018 ;12 ;102;58;0,925 ;1,000 ;11,6 ;0 ;
1337 ;0:34,00 ;5056 ;12 ;101;59;0,935 ;1,000 ;11,6 ;0 ;
1337 ;0:34,10 ;5009 ;12 ;102;59;0,950 ;1,000 ;11,5 ;0 ;
1337 ;0:34,20 ;5021 ;12 ;102;59;0,963 ;1,000 ;11,4 ;0 ;
1337 ;0:34,30 ;5049 ;12 ;101;59;0,980 ;1,000 ;11,5 ;0 ;
1337 ;0:34,40 ;4993 ;12 ;102;59;0,998 ;1,000 ;11,6 ;0 ;
1337 ;0:34,50 ;4984 ;12 ;102;59;1,003 ;1,000 ;11,5 ;0 ;
1337 ;0:34,60 ;5004 ;12 ;102;59;1,004 ;1,000 ;11,5 ;0 ;
1337 ;0:34,70 ;4968 ;12 ;102;59;1,012 ;1,000 ;11,7 ;0 ;
1337 ;0:34,80 ;4988 ;12 ;102;59;1,012 ;1,000 ;11,4 ;0 ;
1337 ;0:34,90 ;4951 ;12 ;102;58;1,011 ;1,000 ;11,6 ;0 ;
1337 ;0:35,00 ;4984 ;12 ;102;59;1,011 ;1,000 ;11,5 ;0 ;
1337 ;0:35,10 ;4904 ;13 ;102;58;1,007 ;1,000 ;11,5 ;0 ;
1337 ;0:35,20 ;4910 ;12 ;102;59;1,002 ;1,000 ;11,5 ;0 ;
1337 ;0:35,30 ;4889 ;12 ;102;58;1,000 ;1,000 ;11,6 ;0 ;
1337 ;0:35,40 ;4921 ;12 ;102;58;1,012 ;1,000 ;11,6 ;0 ;
1337 ;0:35,50 ;4929 ;12 ;102;59;1,016 ;1,000 ;11,5 ;0 ;
1337 ;0:35,60 ;4875 ;13 ;102;58;1,014 ;1,000 ;11,6 ;0 ;
1337 ;0:35,70 ;4887 ;13 ;102;58;1,012 ;1,000 ;11,4 ;0 ;
1337 ;0:35,80 ;4863 ;13 ;102;58;0,996 ;1,000 ;11,5 ;0 ;
1337 ;0:35,90 ;4877 ;13 ;102;58;0,964 ;1,000 ;11,6 ;0 ;
1337 ;0:36,00 ;4960 ;13 ;102;56;0,927 ;1,000 ;11,6 ;0 ;
1337 ;0:36,10 ;5012 ;12 ;102;56;0,872 ;1,000 ;11,5 ;0 ;
1337 ;0:36,20 ;5141 ;12 ;102;54;0,832 ;1,000 ;11,5 ;0 ;
1337 ;0:36,30 ;5227 ;12 ;101;53;0,828 ;1,000 ;11,6 ;0 ;
1337 ;0:36,40 ;5308 ;13 ;101;51;0,813 ;1,000 ;11,4 ;0 ;
1337 ;0:36,50 ;5450 ;12 ;101;48;0,795 ;1,000 ;11,4 ;0 ;
1337 ;0:36,60 ;5652 ;12 ;101;44;0,775 ;1,000 ;11,6 ;0 ;
1337 ;0:36,70 ;5883 ;13 ;101;42;0,770 ;1,000 ;11,6 ;0 ;
1337 ;0:36,80 ;5948 ;12 ;101;43;0,775 ;1,000 ;11,5 ;0 ;
1337 ;0:36,90 ;5933 ;13 ;101;44;0,779 ;1,000 ;11,5 ;0 ;
1337 ;0:37,00 ;5886 ;13 ;101;45;0,796 ;1,000 ;11,4 ;0 ;
1337 ;0:37,10 ;5835 ;12 ;101;47;0,816 ;1,000 ;11,6 ;0 ;
1337 ;0:37,20 ;5767 ;13 ;101;50;0,836 ;1,000 ;11,4 ;0 ;
1337 ;0:37,30 ;5635 ;12 ;101;52;0,847 ;1,000 ;11,4 ;0 ;
1337 ;0:37,40 ;5560 ;12 ;101;53;0,841 ;1,000 ;11,6 ;0 ;
1337 ;0:37,50 ;5480 ;12 ;101;54;0,833 ;1,000 ;11,4 ;0 ;
1337 ;0:37,60 ;5397 ;12 ;101;55;0,833 ;1,000 ;11,4 ;0 ;
1337 ;0:37,70 ;5346 ;12 ;101;55;0,848 ;1,000 ;11,5 ;0 ;
1337 ;0:37,80 ;5287 ;12 ;101;55;0,852 ;1,000 ;11,5 ;0 ;
1337 ;0:37,90 ;5289 ;12 ;101;56;0,854 ;1,000 ;11,6 ;0 ;
1337 ;0:38,00 ;5262 ;12 ;101;56;0,858 ;1,000 ;11,4 ;0 ;
1337 ;0:38,10 ;5214 ;12 ;101;57;0,869 ;1,000 ;11,6 ;0 ;
1337 ;0:38,20 ;5243 ;12 ;101;56;0,877 ;1,000 ;11,5 ;0 ;
1337 ;0:38,30 ;5234 ;12 ;101;57;0,880 ;1,000 ;11,5 ;0 ;
1337 ;0:38,40 ;5173 ;12 ;101;57;0,890 ;1,000 ;11,6 ;0 ;
1337 ;0:38,50 ;5142 ;12 ;101;57;0,903 ;1,000 ;11,5 ;0 ;
1337 ;0:38,60 ;5096 ;12 ;101;58;0,913 ;1,000 ;11,5 ;0 ;
1337 ;0:38,70 ;5118 ;13 ;101;58;0,912 ;1,000 ;11,4 ;0 ;
1337 ;0:38,80 ;5032 ;12 ;101;58;0,921 ;1,000 ;11,5 ;0 ;
1337 ;0:38,90 ;5068 ;12 ;101;58;0,953 ;1,000 ;11,6 ;0 ;
1337 ;0:39,00 ;5038 ;12 ;101;58;0,970 ;1,000 ;11,6 ;0 ;
1337 ;0:39,10 ;5095 ;12 ;101;58;0,962 ;1,000 ;11,6 ;0 ;
1337 ;0:39,20 ;5093 ;12 ;101;58;0,968 ;1,000 ;11,6 ;0 ;
1337 ;0:39,30 ;5082 ;13 ;101;58;0,987 ;1,000 ;11,6 ;0 ;
1337 ;0:39,40 ;5057 ;13 ;101;58;0,990 ;1,000 ;11,5 ;0 ;
1337 ;0:39,50 ;5043 ;12 ;101;58;0,988 ;1,000 ;11,4 ;0 ;
1337 ;0:39,60 ;5037 ;12 ;101;58;0,990 ;1,000 ;11,5 ;0 ;
1337 ;0:39,70 ;5016 ;12 ;101;58;1,008 ;1,000 ;11,6 ;0 ;
