SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
1300 ;2:07,90 ;5274 ;12 ;76;38;0,750 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;12,0 ;-1 ;3,24 ;29,8 ;0 ;0 ;
1300 ;2:08,00 ;6111 ;12 ;76;33;0,771 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;11,9 ;-1 ;2,85 ;29,2 ;0 ;0 ;
1300 ;2:08,10 ;7038 ;11 ;76;30;0,827 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,8 ;-1 ;2,77 ;28,1 ;0 ;0 ;
1300 ;2:08,20 ;7931 ;10 ;76;30;0,925 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,9 ;-1 ;2,88 ;28,4 ;0 ;0 ;
1300 ;2:08,30 ;8852 ;11 ;76;42;1,012 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;11,9 ;-1 ;4,35 ;33,8 ;0 ;0 ;
1300 ;2:08,40 ;9811 ;59 ;76;77;1,002 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,49 ;11,8 ;-1 ;11,84 ;40,4 ;0 ;0 ;
1300 ;2:08,50 ;10763 ;75 ;76;82;1,048 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;11,7 ;-1 ;12,54 ;43,6 ;0 ;0 ;
1300 ;2:08,60 ;11207 ;79 ;76;72;0,962 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,44 ;11,7 ;-1 ;11,55 ;44,5 ;0 ;0 ;
1300 ;2:08,70 ;9566 ;56 ;76;55;0,977 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;11,9 ;-1 ;3,21 ;40,2 ;0 ;0 ;
1300 ;2:08,80 ;7914 ;36 ;76;60;0,892 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;12,0 ;-1 ;3,00 ;43,8 ;0 ;0 ;
1300 ;2:08,90 ;6461 ;36 ;76;69;0,879 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;12,0 ;-1 ;3,31 ;37,2 ;0 ;0 ;
1300 ;2:09,00 ;5391 ;34 ;76;69;0,983 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;11,8 ;-1 ;3,23 ;31,2 ;0 ;0 ;
1300 ;2:09,10 ;4913 ;25 ;76;59;0,941 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;12,0 ;-1 ;2,58 ;29,6 ;0 ;0 ;
1300 ;2:09,20 ;5040 ;20 ;76;51;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;12,0 ;-1 ;2,29 ;30,4 ;0 ;0 ;
1300 ;2:09,30 ;5522 ;20 ;76;44;0,930 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;12,0 ;-1 ;2,13 ;32,2 ;0 ;0 ;
1300 ;2:09,40 ;6399 ;20 ;76;41;0,952 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;12,0 ;-1 ;2,10 ;32,3 ;0 ;0 ;
1300 ;2:09,50 ;7290 ;20 ;76;38;0,794 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,8 ;-1 ;2,02 ;30,7 ;0 ;0 ;
1300 ;2:09,60 ;8223 ;21 ;76;42;0,676 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,9 ;-1 ;2,16 ;33,5 ;0 ;0 ;
1300 ;2:09,70 ;9164 ;38 ;76;54;0,700 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,9 ;-1 ;3,03 ;40,0 ;0 ;0 ;
1300 ;2:09,80 ;7951 ;47 ;76;68;0,726 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,8 ;-1 ;3,65 ;44,7 ;0 ;0 ;
1300 ;2:09,90 ;7094 ;49 ;76;76;0,766 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;11,8 ;-1 ;4,46 ;38,6 ;0 ;0 ;
1300 ;2:10,00 ;6321 ;49 ;76;80;0,805 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;12,0 ;-1 ;4,63 ;35,6 ;0 ;0 ;
